from,to,weight,relation,participation,count
JeffSi,19by,1,1,1,1
JeMa,DAMN,1,1,1,1
Jepp,BornTh,1,1,1,2
Jere,DooW,1,1,1,1
JeRe,Kami,1,3,1,2
JeRv,KMag,3,1,1,2
JeWa,divi,1,1,1,1
JHar,Beli,1,1,1,1
jhop,LYSA,3,2,7,10
jhop,LYST,5,2,5,7
JiGi,ToIA,1,1,1,1
JimI,BornTo,1,1,1,1
Jimm,UpAl,1,1,1,1
JiNa,ToIA,5,1,5,7
JINB,LYSA,1,1,1,1
JINB,LYST,1,1,1,1
JiWa,Revi,1,1,1,1
JMcD,divi,3,1,5,7
JMcD,BeTr,1,1,1,1
Joan,Christ,1,1,1,1
JoCo,Huma,3,1,3,4
JoFl,DAMN,1,1,1,1
JohnFr,Christ,1,1,1,1
JohnFr,Unde,1,1,1,1
JohnHe,Merr,1,1,1,1
JohnHi,Talk,1,1,1,1
JohnHi,TheT,1,1,1,1
JohnLe,ThaC,1,3,1,1
JohnMe,DooW,1,1,1,1
JohnnyMa,Christ,1,1,1,1
JohnnyMo,Merr,1,1,1,1
JoRy,Take,1,1,1,1
JoIn,Revi,1,1,1,1
JoLu,Kami,1,3,1,1
JonK,TheT,1,1,1,1
JonnyBu,Mylo,5,2,7,14
JonnyGr,Beli,1,1,1,1
Jóns,Mylo,1,1,1,1
JoRy,HaSt,1,1,1,1
JoSc,DAMN,1,1,1,1
JoseF,Christ,1,1,1,1
JosephM,Christ,1,1,1,1
JosephM,Unde,1,1,1,1
JosephM,Merr,1,1,1,1
Josh,DooW,1,1,1,1
JoYi,KMag,3,1,1,2
JRCo,DAMN,1,1,1,1
JuBl,Revi,1,1,1,1
JuBu,HaSt,1,1,1,1
Jule,Merr,1,1,1,1
JuBu,Take,1,1,1,1
JuMi,divi,1,1,1,1
JuMi,BeTr,1,1,1,2
JuPa,TGrS,7,2,7,22
JustinBi,Unde,5,2,5,7
JustinBi,Beli,5,1,7,12
JustinPa,BornTo,3,1,3,5
JustinPa,Unap,1,1,1,1
JusV,Kami,1,1,1,1
Juve,DAMN,1,1,1,1
KaLa,Mpcl,1,1,1,1
Kand,divi,1,1,1,1
KASS,LYSA,1,1,1,2
Kath,Unde,1,1,1,1
Kave,DooW,1,1,1,1
KeBr,divi,1,1,1,1
KeGo,Kami,1,1,1,1
KeHe,Revi,1,1,1,1
KeLa,DAMN,7,2,7,14
KellyCl,UpAl,1,1,1,1
KellyLu,Beli,1,1,1,1
Keno,ThaC,1,1,1,1
KevinCol,ThaC,1,1,1,1
KevinCos,Unap,1,3,1,1
KevinMc,Unde,1,1,1,1
KevinRa,Talk,1,1,1,1
KiGi,DAMN,1,1,1,1
KiHa,HaSt,1,1,1,2
KimG,Christ,1,1,1,1
Kjar,Mylo,1,1,1,1
Knan,DooW,1,1,1,1
Kook,LYSA,1,2,1,1
Kook,LYST,1,2,1,1
Kool,Take,1,1,1,1
Kris,Take,1,1,1,2
Labr,Unap,1,1,1,1
Lady,BornTh,5,2,7,14
LaMa,ThaC,1,1,1,1
Lana,BornTo,7,2,7,12
LaNe,ThaC,1,1,1,1
LaSm,Revi,1,1,1,1
LaurenC,Loud,1,1,1,1
Laurence,21by,1,1,1,1
Leig,Merr,1,1,1,1
LeMi,Revi,1,1,1,1
LeMi,19by,1,1,1,1
LeWh,DAMN,1,1,1,1
LiamP,UpAl,3,2,3,3
LiamP,Take,3,2,3,3
LiBa,divi,1,1,1,1
LiGo,Kami,1,1,1,1
LilW,ThaC,7,2,7,15
Lily,TheT,1,3,1,1
Lind,UpAl,1,1,1,1
LiOw,LYSA,1,1,1,1
LiOw,LYST,1,1,1,1
LizRod,Revi,1,1,1,1
Livv,Unap,1,1,1,1
LizRod,TheT,1,1,1,1
LizRos,Redb,1,1,1,1
LLCJ,Kami,1,1,1,1
LMJr,SoEx,7,2,7,13
LMJr,DAMN,1,3,1,1
Lone,Kami,1,1,1,1
loph,LYST,1,1,1,1
Lord,ThaC,1,1,1,1
LosD,Unap,1,1,1,1
LouB,Merr,1,1,1,1
LouisT,UpAl,3,2,3,3
LouisT,Take,3,2,3,3
LP,Loud,1,1,1,1
Luda,Beli,1,3,1,1
LuRa,Revi,1,1,1,1
LuRe,Kami,3,1,3,5
LuRe,Revi,1,3,3,3
MaAc,Revi,1,1,1,1
MaAt,Revi,1,1,1,1
MaBa,Revi,1,1,3,3
Mack,ThaC,3,1,5,8
MaCr,Huma,1,1,1,2
MaDi,Revi,1,1,1,1
Maej,Beli,1,1,1,1
MaFr,DAMN,1,1,1,1
MaJa,Kami,1,1,1,1
MaLa,BeTr,1,1,1,1
Malo,Mpcl,3,1,3,3
Marc,KMag,1,1,1,1
Marcos,Talk,1,1,1,1
MarcusMa,ThaC,1,1,1,1
MarcusMu,Babe,7,2,7,12
MaRe,Kami,1,1,1,1
MariahC,Christ,1,1,1,1
MariahC,Unde,1,3,1,1
MaTA,DAMN,1,1,1,1
MaTi,LYSA,1,1,1,1
Matt,UpAl,1,1,1,1
MaxM,Redb,1,1,3,3
MaxM,Beli,1,1,1,1
MaxM,TheT,1,1,1,1
MaxM,repu,3,1,7,9
MaxM,BeTr,3,1,3,4
Mayn,Loud,1,1,1,2
MdL,Beli,1,1,1,2
MeJF,LYSA,1,1,1,1
MeJF,Unde,1,1,1,1
MelT,Unde,1,1,1,1
Melv,Loud,1,1,1,1
Mere,Christ,1,1,1,1
MiBu,DAMN,1,1,1,1
MichaelBu,Christ,1,2,3,3
MichaelJa,Unap,1,1,1,1
MiHe,DAMN,1,1,1,1
MiJe,Revi,1,1,1,1
MikeCar,DooW,1,1,1,1
MikeDal,BornTo,1,1,1,1
MikeJon,ThaC,1,1,1,1
MikePos,Beli,1,1,1,1
