from,to,weight,relation,participation,count
Wond,DAMN,1,1,1,1
Hary,HaSt,7,2,7,10
JeBh,HaSt,5,1,5,8
TyJo,HaSt,7,1,7,10
RyNa,HaSt,5,1,5,7
MiRo,HaSt,5,1,7,9
AlSa,HaSt,5,1,5,8
KiHa,HaSt,1,1,1,2
JuBr,HaSt,1,1,1,1
JoRy,HaSt,1,1,1,1
Emin,Revi,7,2,7,19
SkGr,Revi,3,1,3,4
Beyo,Revi,1,3,1,1
MiSt,Revi,1,1,1,1
LuRe,Revi,1,3,3,3
PMD,Revi,1,1,1,1
ErSe,Revi,1,1,1,1
dEnA,Revi,1,1,1,2
ErMc,Revi,1,1,1,1
TyKe,Revi,1,1,1,1
AnBr,Revi,1,1,1,1
MaAc,Revi,1,1,1,1
GaDe,Revi,1,1,1,1
ToCh,Revi,1,1,1,1
EmHa,Revi,1,1,1,2
Dove,Revi,1,1,1,1
EdSh,Revi,1,1,1,1
TLJr,Revi,1,1,1,1
RNUF,Revi,1,1,1,1
DDre,Revi,1,1,1,1
JiWa,Revi,1,1,1,1
LuRa,Revi,1,1,1,1
YoMC,Revi,1,1,1,1
MaDi,Revi,1,1,1,1
Scho,Revi,1,1,1,1
AlMa,Revi,1,1,1,1
JaHo,Revi,1,1,1,1
AlLe,Revi,1,3,1,1
MaAt,Revi,1,1,1,1
ReSp,Revi,1,1,1,1
Freq,Revi,1,1,1,1
MyWi,Revi,1,1,1,1
AlKe,Revi,1,3,1,1
JuBl,Revi,1,1,1,1
GeSa,Revi,1,1,1,1
CaFi,Revi,1,1,1,1
MiJe,Revi,1,1,1,1
OnCu,Revi,1,1,1,1
PaRo,Revi,1,1,1,1
AldK,Revi,1,1,3,3
SamH,Revi,1,1,1,1
KeHe,Revi,1,1,1,1
DaBy,Revi,1,1,1,1
FrWr,Revi,1,1,1,1
ToSt,Revi,1,1,1,1
AnAr,Revi,1,1,1,1
TiJa,Revi,1,1,1,1
LaSm,Revi,1,1,1,1
D.M.C.,Revi,1,1,1,1
AdRo,Revi,1,1,1,1
ReRu,Revi,1,1,1,1
Rick,Revi,1,1,1,1
IDaP,Revi,1,1,1,1
LeMi,Revi,1,1,1,1
DaGu,Revi,1,1,1,1
ThBr,Revi,1,1,1,1
MStB,Revi,1,1,1,1
ChBr,Revi,1,1,1,1
JoIn,Revi,1,1,1,1
ScJo,Revi,1,1,1,1
DORi,Revi,1,1,1,1
LiRo,Revi,1,1,1,1
ErAl,Revi,1,1,1,1
ChIn,Revi,1,1,1,1
DJKh,Revi,1,1,1,1
Bawh,Revi,1,1,1,1
AMcB,Revi,1,1,1,1
BrMa,KMag,7,2,7,9
PhLa,KMag,7,1,7,9
BrBr,KMag,7,1,7,9
JaFa,KMag,5,1,5,7
TLJr,KMag,1,1,1,1
HoSt,KMag,1,1,1,1
RaCh,KMag,3,1,1,2
RaRo,KMag,3,1,1,2
JeRv,KMag,3,1,1,2
JoYi,KMag,3,1,1,2
Marc,KMag,1,1,1,1
CAGM,KMag,1,1,1,1
TPai,KMag,1,1,1,1
JeBh,KMag,3,1,1,2
EmHa,KMag,1,1,1,1
Baby,KMag,1,1,1,1
