id,name,type,sex,origin,genre,language,year,tracks,second year
BarryG,Barry Gibb,1,2,1,99,99,99,99,99
Bawh,Barry White,1,2,2,99,99,99,99,99
BE,BE by BTS,2,55,55,11,6,2020,8,55
Beat,BeatGeek,1,99,99,99,99,99,99,99
BeTr,Beautiful Trauma by P!nk,2,55,55,1,1,2017,13,2018
Beau,Beauty behind the madness by the weeknd,2,55,55,1,1,2015,14,55
Bebe,Bebe Rexha,1,1,2,99,99,99,99,99
Been,Beenie Man,1,2,10,99,99,99,99,99
Beko,Bēkon,1,2,2,99,99,99,99,99
Beli,Believe by Justin Bieber,2,55,55,1,1,2012,13,55
Bell,Belly,1,2,10,99,99,99,99,99
BenB,Ben Billions,1,2,99,99,99,99,99,99
BenF,Ben Fagan,1,2,2,99,99,99,99,99
BenK,Ben Kohn,1,2,1,99,99,99,99,99
BenLo,Ben Lovett,1,2,1,99,99,99,99,99
BenMa,Ben Maddahi,1,2,2,99,99,99,99,99
BenMc,Ben McKee,1,2,2,99,99,99,99,99
BenV,Ben Vella,1,99,99,99,99,99,99,99
BenWe,Ben West,1,2,2,99,99,99,99,99
Beng,Bengy Gibson,1,2,2,99,99,99,99,99
BePa,Benj Pasek,1,2,2,99,99,99,99,99
BeAn,Benny Andersson,1,2,9,99,99,99,99,99
benn,benny blanco,1,2,2,99,99,99,99,99
Bern,Bernie Taupin,1,2,1,99,99,99,99,99
Berr,Berry Gordy,1,2,2,99,99,99,99,99
BertK,Bert Kalmar,1,2,2,99,99,99,99,99
Beyonc,Beyoncé,1,1,2,99,99,99,99,99
Beyo,Beyoncé by Beyoncé,2,55,55,7,1,2013,14,55
BigB,Big Boi,1,2,2,99,99,99,99,99
BigS,Big Sean,1,2,2,99,99,99,99,99
BigT,Big Taste,1,2,99,99,99,99,99,99
BiCu,Bill Curtis,1,2,2,99,99,99,99,99
Billie,Billie Eilish,1,1,2,99,99,99,99,99
BillyHa,Billy Hayes,1,2,2,99,99,99,99,99
BillyMa,Billy Mann,1,2,2,99,99,99,99,99
BillySq,Billy Squier,1,2,2,99,99,99,99,99
BillyWa,Billy Walsh,1,2,2,99,99,99,99,99
Bing,Bing Crosby,1,2,2,99,99,99,99,99
